movie,sentence,score
헤어질 결심,미결로서 완성되어진 서로에게 없어지지 않을 사랑 이야기,10
더 킬러: 죽어도 되는 아이,기대안하고 보다가 재밌겠다,10
더 킹,연출 재미 뭐하나 끝까지 버릴게 없었습니다,10
우연과 상상,"다시 한번 문을 열고, 마법보다 불확실하지만 그 순간의 우연을 상상하고 싶고, 경험하고 싶어 미치게 만드는 영화. 그리고 따뜻한 엔딩. ",8
엘비스,실제 엘비스를 보는거같은 오스틴 버틀러의 연기,10
헤어질 결심,두 번 보고싶은 영화였습니다.,8
탑건: 매버릭,최고였다. 역시 톰형. 콜미 바이 유얼네임 따위는 개나줘버려!!,10
체리마호: 30살까지 동정이면 마법사가 될 수 있대,로맨스만 가득해서 조금 지루,1
엘비스,엘비스 프레슬리의 생애와 역사를 더 자세하게 풀어낸 영화,10
엘비스,오스틴 버틀러  얼마나 연습 했을까요~혼신을 다한 연기 대단합니다,9
탑건: 매버릭,액션도 좋았지만 감동이 있는 영화였습니다.,10
탑건: 매버릭,과언이 아니고 그저 전설이다,10
탑건: 매버릭,탑건 1편을 중학생때 관람했는데나이 50에 후속편을 보게되었네요감사합니다,10
마녀(魔女) Part2. The Other One,난 한국에서 이런 액션영화 만드는게 너무좋더라1만 봐서는 몰랐던 세계관의 크기를 2에서 제대로 느낌 생각보다 방대한것같은 세계관에 3까지 기다려진다배우들 다 고생했지만서은수배우 진짜 다시보게됨,10
탑건: 매버릭,두번봤는데 또 보고싶다,10
탑건: 매버릭,오랜만에 두번 볼 수 있을거같은 영화 톰아재는 영원하다,10
토르: 러브 앤 썬더,토르의 백치미에 제인의 쿨함 그런데 딱히 재미가 없네 ,5
헤어질 결심,마지막장면처럼 저는 슬픔이 파도처럼 밀려오며 마음이 붕괴되는 느낌을 받았습니다ㅠㅠ영화를 잘모르지만 신비한 느낌도 받고 안개처럼 모호한 스토리였지만 흔한 노출씬없이 어른의 찐사랑을 아프게. 슬프게 그려낸 작품같습니다,10
테넷,감독의 농간에 놀아나지 않으리,1
주(咒),엄마가 아이를 위해 &amp;#34;무슨 일&amp;#34;이든 할 수 있다는 말을 무섭고 소름끼치고 역겹게 느껴지게 하는 영화. 오컬트적인 요소와 합쳐져서 더 소름끼쳤음. 꿀잼,8
첨밀밀,20년만에 보고 펑펑 울었네요~ 다시봐도 가슴을 울리네요 ~ 두분의 연기와 영상이 스토리 너무 감동입니다.  장만옥언니 너무 좋아해요! ,10
